vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
晋KP1050_1,12,b'2021-08-24 10:19:17',1,25.26546835899353,24.23334002494812,2.4814136,8.276714,6.1540165,6.311061,1.875384,2.51664,8.50002,5.61666,5.8833604,1.71666
宁AMS715_0,1,b'2021-08-24 10:21:05',0,18.141149282455444,18.866640329360962,1.8035533,6.073301,4.3696995,4.4927254,1.3560276,1.8333601,6.3666596,4.61664,4.65,1.39998
冀FC32J1_0,1,b'2021-08-24 10:24:22',1,18.267388343811035,17.61665940284729,1.7929078,6.138995,4.3812876,4.498699,1.3724958,1.8,6.11664,4.1666403,4.30002,1.2333599
宁AR573N_0,1,b'2021-08-24 10:29:47',1,18.400719165802002,18.18329930305481,1.8205394,6.1816754,4.420529,4.5465884,1.3701887,1.86666,6.0,4.46664,4.56666,1.28334
冀J5L698_1,16,b'2021-08-24 10:31:08',1,25.99689781665802,24.283379316329956,2.5675945,8.431161,6.348863,6.491757,1.9606335,2.3999999,7.63332,5.78334,6.4833603,1.9833599
陕A50HQ8_0,1,b'2021-08-24 10:40:00',1,18.43478500843048,18.333299160003662,1.8107544,6.2097154,4.429601,4.52262,1.3711005,1.81668,6.49998,4.56666,4.28334,1.16664
宁AC682V_0,1,b'2021-08-24 10:42:51',0,17.489705085754395,19.133339524269104,1.713308,5.8210335,4.2136836,4.2911777,1.3385102,1.84998,6.6,4.58334,4.73334,1.36668
宁A6GR89_0,11,b'2021-08-24 10:45:21',0,21.552438139915466,19.899959564208984,2.1525252,7.215418,5.143549,5.291334,1.6081996,1.8833401,6.56664,4.8833404,5.06664,1.5
赣FD0730_1,12,b'2021-08-24 10:49:29',0,23.235937356948853,21.90000057220459,2.3323977,7.7233224,5.559463,5.7260103,1.7604241,2.23332,7.4833198,5.20002,5.41668,1.5666599
宁AB553E_0,1,b'2021-08-24 10:53:38',0,20.37309765815735,14.483340382575989,1.9659935,6.8333263,4.7534876,4.9066267,1.4589449,1.43334,4.68336,3.64998,3.66666,1.05
宁A1667J_0,1,b'2021-08-24 10:55:57',0,17.12829351425171,16.949999928474426,1.6619979,5.654314,4.0673437,4.1713247,1.3270199,1.5499799,5.53332,4.23336,4.39998,1.2333599
豫CR5098_1,12,b'2021-08-24 10:57:49',0,22.383127212524414,22.350000143051147,2.2722824,7.4684224,5.359771,5.515998,1.7087265,2.18334,7.23336,5.4833403,5.81664,1.63332
宁C76550_0,1,b'2021-08-24 10:58:43',1,18.596726059913635,17.69999921321869,1.8562998,6.2430687,4.4219418,4.5523667,1.3855733,1.69998,5.85,4.36668,4.4833198,1.30002
宁A9FN37_0,1,b'2021-08-24 11:02:56',1,18.348940014839172,19.11665976047516,1.8325746,6.177245,4.363076,4.505252,1.3541933,1.9499999,6.66666,4.65,4.5,1.35
宁AK382J_0,1,b'2021-08-24 11:04:52',1,18.58546793460846,19.93332087993622,1.8248235,6.2881975,4.395218,4.5345025,1.3724593,2.01666,6.66666,4.75002,4.99998,1.5
宁A67602_0,1,b'2021-08-24 11:06:33',1,18.291648030281067,18.083279728889465,1.8386217,6.1244497,4.352308,4.4915395,1.3540314,1.76664,6.15,4.41666,4.39998,1.35
