vehicle_id,vehicle type,time,first appear,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
宁A37958_0,1,b'2021-08-31 08:25:02',0,30.15350819,29.03328001,2.1080098,5.845589,2.2699628,6.694472,13.283277,1.8833401,5.53332,1.9166399,6.0833397,13.61664
宁A8352H_0,1,b'2021-08-31 08:28:10',0,29.57315683,29.15004015,2.062374,5.817528,2.2113442,6.6395874,13.227875,2.25,5.86668,2.13336,6.6499796,12.25002
宁BN1666_0,1,b'2021-08-31 08:30:48',1,27.25579619,30.11664033,1.9368627,5.5072885,2.0607433,6.1603665,12.46674,2.14998,6.11664,2.20002,6.70002,12.94998
宁A573K3_0,1,b'2021-08-31 08:30:49',1,27.37067163,38.1499815,1.9333322,5.4794064,2.057573,6.1308603,12.479194,1.99998,6.15,10.2,6.53334,13.26666
宁AS802J_0,11,b'2021-08-31 08:31:16',1,32.54305959,44.31665897,2.210557,6.279513,2.402206,7.2547846,14.48113,1.8,5.29998,2.18334,6.4500003,28.58334
宁A67107_0,1,b'2021-08-31 08:31:56',0,24.50518012,24.48335946,1.7784644,4.92406,1.9639446,5.344082,11.021955,1.66668,4.66668,1.73334,5.21664,11.20002
宁A3MH32_0,1,b'2021-08-31 08:32:31',0,29.71291959,28.91670048,2.0579128,5.568389,2.2073457,6.3308697,13.126225,1.68336,5.33334,5.1666603,5.46666,11.26668
皖SSC693_0,1,b'2021-08-31 08:32:55',0,25.9241116,26.3832593,1.8405265,5.360794,1.9815979,5.8795753,11.838162,1.76664,5.18334,2.01666,5.81664,11.59998
川A36KH6_0,1,b'2021-08-31 08:34:20',1,27.17634559,24.74999964,1.9207549,5.498658,2.0483396,6.133088,12.398761,1.61664,4.7999997,1.9000201,5.43336,10.99998
宁D16002_1,4,b'2021-08-31 08:34:30',0,31.91064835,31.99998021,2.163749,6.0838037,2.3433337,7.0178566,14.330032,2.33334,6.3333597,2.36664,6.75,14.21664
宁A3515K_0,11,b'2021-08-31 08:39:13',0,27.75429904,26.83331966,1.9444549,5.6214504,2.0619657,6.306201,12.920502,1.81668,5.18334,2.01666,5.96664,11.85
宁A6X564_0,1,b'2021-08-31 08:40:16',0,26.08597219,26.05001986,1.8688455,5.4586163,2.010435,6.0121036,11.920267,1.8,5.05002,1.86666,5.7,11.633341
宁E52765_0,1,b'2021-08-31 08:40:22',0,25.0579977,24.53340054,1.7930796,5.0796137,1.9380238,5.537294,11.417122,1.68336,4.78332,1.75002,5.33334,10.98336
宁A5BJ73_0,11,b'2021-08-31 08:40:39',0,32.55997539,32.90004015,2.1962104,6.3572106,2.3872736,7.3451357,14.652905,2.3833199,6.43332,2.28336,7.15002,14.65002
宁A6655J_0,1,b'2021-08-31 08:43:15',1,26.70691967,24.61662054,1.8872778,5.4591703,2.0185714,6.0536375,12.191046,1.71666,4.7999997,1.9166399,5.4,10.783319
宁AD163P_0,1,b'2021-08-31 08:43:35',1,26.78509712,25.71666062,1.8842891,5.396567,2.013782,5.9929605,12.207745,1.78332,4.65,1.81668,5.65002,11.81664
宁A9RN96_0,11,b'2021-08-31 08:43:40',0,26.54868007,25.90002,1.847193,5.384549,1.9623501,5.947727,12.250256,1.75002,5.1,1.8,5.4833403,11.76666
宁B00999_1,4,b'2021-08-31 08:43:43',0,30.9793818,30.80009937,2.0838242,5.7504764,2.2414935,6.59964,13.904785,2.05002,5.65002,2.26668,6.55002,14.2833605
宁AN075R_0,1,b'2021-08-31 08:44:12',1,27.28464425,25.98335981,1.931025,5.499348,2.0563369,6.146435,12.457411,1.81668,5.13336,1.99998,5.56668,11.46666
宁A7DX16_0,11,b'2021-08-31 08:46:02',0,29.53364074,29.83332038,2.044582,5.9882035,2.1854074,6.807891,13.513711,1.99998,5.61666,2.20002,6.49998,13.516681
宁BBG101_0,1,b'2021-08-31 08:47:08',1,27.09218323,25.29995978,1.9115789,5.458511,2.0327868,6.0895104,12.371246,1.65,4.86666,2.0666401,5.53332,11.18334
宁AC319S_0,1,b'2021-08-31 08:47:43',1,27.13239849,30.21666169,1.9137753,5.445125,2.0344357,6.079722,12.364679,2.3500202,6.2666397,2.25,6.34998,13.00002
川A11896_0,1,b'2021-08-31 08:47:55',1,27.18391299,26.83338046,1.9061248,5.426702,2.0284832,6.055774,12.408045,1.9833599,5.4,2.28336,5.89998,11.26668
宁A3FK16_0,11,b'2021-08-31 08:48:09',0,29.09294128,25.41671991,2.0135221,5.7259216,2.1461918,6.487028,13.388603,1.75002,4.8333597,1.8333601,5.66664,11.33334
宁DFK895_0,11,b'2021-08-31 08:52:37',1,32.23988414,29.18339968,2.1946876,6.2315154,2.3767314,7.208393,14.305079,2.1,5.78334,2.20002,6.1666803,12.93336
宁B2A008_0,1,b'2021-08-31 08:54:00',0,28.21190178,26.89997971,1.9928609,5.7051435,2.1211376,6.4202785,12.877678,1.84998,4.9833603,1.9166399,5.8833604,12.266641
宁AM131L_0,1,b'2021-08-31 08:55:16',0,25.54986119,24.58332002,1.8115829,5.160331,1.9553925,5.661802,11.611571,1.66668,4.8833404,1.75002,5.21664,11.06664
宁AD5521_0,12,b'2021-08-31 08:55:37',1,37.29680657,35.76659918,2.546194,7.417679,2.8561873,8.380753,17.373564,2.44998,7.0333204,2.6833198,7.5833397,16.01664
宁AGU436_0,1,b'2021-08-31 08:59:19',0,25.51221728,25.14995992,1.8270707,5.2962856,1.984507,5.804707,11.674973,1.5499799,4.61664,1.81668,5.38332,11.78334
宁AE708X_0,11,b'2021-08-31 09:02:29',0,34.5768249,45.84995985,2.294383,6.6540713,2.5010166,7.6066346,15.699218,2.6333401,7.84998,9.46668,8.89998,16.99998
宁A8HV89_0,1,b'2021-08-31 09:02:51',0,27.26878881,31.08335853,1.9298468,5.478324,2.0418231,6.1487494,12.411278,1.76664,4.96668,1.9833599,5.78334,16.58334
宁CN8466_0,1,b'2021-08-31 09:03:36',0,26.65514588,33.40007901,1.8969338,5.3779597,2.0050688,6.0144024,12.131486,1.75002,5.43336,8.14998,5.8833604,12.183359
宁A975V9_0,11,b'2021-08-31 09:05:49',0,28.58761311,41.69999957,1.991035,5.772047,2.1092963,6.5440097,13.228176,1.76664,5.3666396,1.9833599,6.0833397,26.50002
宁BBH298_0,11,b'2021-08-31 09:08:36',1,33.07103276,28.33325922,2.240598,6.527957,2.427491,7.547221,14.819903,1.76664,5.25,1.9166399,5.93334,13.46664
宁DM5365_0,1,b'2021-08-31 09:09:24',1,27.02629924,26.96663976,1.9188664,5.5129023,2.030443,6.1700506,12.345695,1.81668,5.14998,1.84998,5.89998,12.25002
甘A86125_1,3,b'2021-08-31 09:10:21',1,33.79976034,31.26659989,2.2805781,6.695784,2.482234,7.690906,15.388035,2.03334,5.81664,2.16666,6.73332,14.51664
宁A6RC85_0,1,b'2021-08-31 09:10:37',1,26.83913469,26.16666019,1.9035249,5.4832363,2.0172129,6.1213202,12.238376,1.81668,4.99998,1.8,5.65002,11.89998
宁A20201_0,11,b'2021-08-31 09:11:39',0,25.94420671,25.6832993,1.7999729,5.218969,1.9124396,5.742736,11.865338,1.71666,4.7666397,1.9333199,5.55,11.716681
宁A0MU63_0,11,b'2021-08-31 09:13:15',0,31.96950316,30.96672177,2.1770678,6.247836,2.3451898,7.2304997,14.213126,2.01666,5.65002,2.13336,6.6,14.56668
鲁A6D7W1_0,1,b'2021-08-31 09:13:15',1,26.89139485,27.49997914,1.9003518,5.4380465,2.0125282,6.076921,12.224939,1.8,5.1166797,1.9333199,5.93334,12.7166395
宁AB021K_0,1,b'2021-08-31 09:14:20',0,25.64646006,26.48333967,1.8204724,5.2350163,1.959106,5.7602563,11.677134,1.81668,4.96668,1.9499999,5.91666,11.83332
宁ABR349_0,1,b'2021-08-31 09:14:36',1,26.9145906,32.23332167,1.9023223,5.448337,2.016274,6.0889473,12.26654,2.56668,6.06666,2.16666,6.86664,14.56668
宁AY062Q_0,11,b'2021-08-31 09:15:08',0,29.67812061,33.78335953,2.0533397,5.8686123,2.1893044,6.7524524,13.570861,2.01666,6.1666803,2.4333599,7.16664,16.000021
鲁QG3W63_0,1,b'2021-08-31 09:15:38',0,28.6236155,26.39994085,2.0208268,5.7229385,2.148123,6.4933796,12.979702,1.61664,4.9500003,1.84998,5.89998,12.08334
鲁HF16D5_0,1,b'2021-08-31 09:15:54',1,26.88098609,26.8166399,1.9082857,5.4247036,2.0201848,6.109745,12.29772,1.68336,4.78332,1.78332,6.3666596,12.199981
冀F36MG6_0,1,b'2021-08-31 09:16:45',1,26.90396905,37.03332067,1.9052745,5.457329,2.0193224,6.1368327,12.321367,1.69998,5.14998,2.03334,5.7,22.45002
宁DFB231_0,1,b'2021-08-31 09:17:20',1,26.6962105,25.88334024,1.8953298,5.43767,2.0087926,6.1076584,12.198736,1.71666,4.8333597,1.99998,6.01668,11.31666
宁BCA130_0,1,b'2021-08-31 09:18:20',0,41.93946719,35.06663918,3.065718,6.4285603,3.4027925,7.1918516,15.982874,1.9333199,4.66668,10.166639,5.7,12.599999
